p10009,p9969
p21802,p21800
p21790,p21614
p21924,p21986
p202330,p204454
p194696,p194588
p215522,p215974
p215834,p215522
p21188,p21754
p53264,p51644
p51716,p53066
p69832,p69622
p69662,p69767
p216198,p216474
p33087,p33135
p33513,p33435
p33615,p33699
p33783,p33753
p215766,p215554
p217006,p217142
p215446,p215444
p215794,p215658
p216862,p217156
p215292,p215288
p199804,p199780
p199768,p199744
p215334,p215330
p195134,p195102
p216902,p216894
p216890,p217006
p203509,p203446
p215830,p215822
p216964,p216894
p216898,p216894
p216094,p216062
p215990,p215870
p216022,p215554
p215814,p215470
p215586,p215534
p69652,p69632
p96595,p96567
p96507,p96455
p122475,p122466
p127303,p127301
p89332,p89330
p87103,p87093
p127623,p127617
p86909,p86761
p86121,p86105
p86857,p86855
p127677,p127674
p94049,p94040
p93968,p93671
p1718,p1676
p125417,p125414
p86915,p86911
p143798,p143768
p144223,p144208
p144498,p144488
p143868,p144478
p89058,p89044
p95540,p95736
p83691,p83571
p119561,p119559
p86145,p86137
p127554,p127551
p82659,p82563
p89148,p89146
p89070,p89066
p123405,p123349
p88838,p88834
p127343,p127342
p95788,p95776
p86955,p86953
p95772,p95752
p66386,p66378
p94967,p93941
p37118,p42898
p66416,p66414
p95604,p95832
p86679,p86673
p144188,p144183
p86665,p86145
p95093,p95066
p127329,p127316
p127470,p127776
p144463,p144388
p127548,p127530
p127334,p127333
p144753,p144633
p88768,p88758
p85947,p85875
p127401,p127324
p144203,p144198
p82755,p82707
p89398,p88726
p86601,p86593
p127348,p127344
p95564,p95748
p29984,p30000
p95640,p95628
p87051,p86925
p39738,p43318
p86209,p86193
p127330,p127329
p86975,p86969
p86249,p86233
p147572,p147571
p127443,p127408
p86425,p86281
p86877,p86945
p86999,p86995
p83547,p83523
p125394,p125382
p89158,p89312
p89456,p89450
p95568,p95560
p88920,p88918
p66414,p66386
p1893,p1746
p89442,p88906
p66364,p66346
p86767,p86763
p127671,p127662
p86641,p86633
p127300,p127447
p95768,p95760
p95720,p95716
p89214,p89212
p144533,p144528
p127692,p127686
p127212,p127272
p87063,p87157
p88598,p89518
p127341,p127340
p86913,p86905
p147568,p147567
p127410,p127403
p87037,p87013
p126974,p126894
p95696,p95592
p88640,p88634
p86979,p86975
p76323,p76227
p86953,p86951
p85707,p85683
p83475,p83451
p76467,p76443
p127611,p127608
p87007,p87005
p66392,p66380
p86225,p86169
p127266,p127260
p78315,p78267
p82563,p81747
p82731,p82659
p79971,p79899
p1627,p2726
p89336,p89332
p2705,p2747
p83595,p83571
p87095,p87093
p127214,p127222
p80139,p80019
p79539,p79491
p39538,p47178
p89254,p89240
p88614,p88600
p147564,p147561
p89032,p88902
p126310,p126246
p147601,p147622
p147611,p147609
p127370,p127365
p127361,p127342
p125854,p125542
p89166,p89312
p89054,p89042
p127467,p127371
p147535,p147514
p89236,p88690
p123342,p123433
p143738,p143723
p88638,p89450
p125430,p125386
p89124,p89120
p125534,p125502
p127378,p127355
p119544,p119556
p89028,p89012
p147607,p147621
p144628,p143908
p89000,p88984
p89188,p89110
p88874,p88804
p147590,p147567
p127276,p127218
p127328,p127406
p127557,p127515
p126150,p126406
p125518,p126726
p127313,p127304
p144298,p144648
p144743,p144693
p147640,p147635
p89044,p88966
p89062,p88906
p164596,p164519
p218516,p218508
p204718,p205142
p165310,p165247
p204598,p204734
p204638,p204630
p205086,p205070
p164610,p164603
p218540,p218544
p164253,p165345
p218700,p218732
p127449,p127446
p29440,p30272
p86765,p86747
p43998,p37038
p88758,p88742
p81483,p81459
p39598,p39558
p246544,p246742
p30240,p29560
p87035,p86973
p86783,p86997
p83763,p83571
p127797,p127551
p29544,p29536
p95688,p95648
p35598,p46458
p2768,p2712
p127262,p127248
p42498,p42298
p38618,p38358
p127336,p127429
p80499,p80307
p86777,p86729
p211051,p211027
p127788,p127728
p127270,p127260
p47098,p44318
p127650,p127632
p40238,p45398
p127749,p127740
p209983,p209971
p127250,p127298
p126502,p126494
p86851,p86951
p85851,p85827
p209671,p209587
p95111,p94202
p29552,p29544
p127220,p127182
p209743,p209719
p126278,p126118
p87021,p86989
p127425,p127369
p78963,p78939
p82827,p82755
p127647,p127635
p211003,p210979
p29512,p29488
p32634,p32673
p144608,p144633
p127806,p127803
p126438,p125878
p86753,p86761
p127236,p127282
p86417,p86137
p86889,p86855
p89452,p89440
p86731,p86683
p127791,p127722
p40278,p46278
p210031,p209995
p86297,p86233
p86739,p86733
p32676,p32673
p87033,p86969
p208447,p208435
p208387,p208351
p127216,p127288
p127713,p127689
p210895,p210343
p126038,p126406
p210307,p210283
p86867,p86863
p29360,p30328
p44138,p44118
p144273,p144008
p126478,p125678
p86699,p86967
p37798,p37698
p77811,p77787
p127450,p127436
p144613,p143778
p127466,p127309
p208495,p208471
p32648,p32641
p210907,p210871
p84075,p83979
p127539,p127518
p210127,p210079
p38638,p38618
p41058,p41018
p41078,p41058
p43198,p43158
p149187,p149553
p149535,p148647
p149163,p148731
p37678,p37638
p17195,p17180
p2222,p2215
p2817,p2243
p2572,p2551
p46118,p46098
p48678,p48658
p119559,p119554
p2243,p2222
p1781,p2817
p2579,p2572
p2215,p2565
p205636,p205646
p149649,p149187
p149307,p149157
p148875,p149199
p164547,p164253
p149625,p149187
p149289,p148965
p205606,p205596
p205646,p205626
p2621,p1844
p149025,p148905
p125646,p126734
p125638,p125542
p125822,p125670
p127698,p127680
p127432,p127344
p127326,p127383
p127423,p127406
p127376,p127301
p143893,p143753
p127465,p127413
p127770,p127695
p127818,p127779
p32170,p32161
p36958,p48378
p144478,p144753
p17188,p17187
p17184,p17190
p30056,p30016
p32640,p32638
p32641,p32666
p44578,p44318
p40658,p40478
p35938,p47318
p144488,p144463
p144528,p144498
p143973,p143968
p119570,p119565
p127447,p127419
p127683,p127671
p127357,p127341
p125387,p125386
p127413,p127299
p127686,p127677
p95560,p95564
p127311,p127344
p95780,p95768
p95748,p95540
p127512,p127818
p127776,p127692
p127365,p127361
p127364,p127431
p127345,p127343
p127304,p127467
p127458,p127443
p127581,p127551
p127433,p127423
p123398,p123384
p127695,p127647
p123370,p123426
p127668,p127617
p95716,p95696
p95692,p95648
p127406,p127378
p127436,p127429
p127371,p127370
p127454,p127450
p127342,p127328
p127339,p127326
p95736,p95720
p127226,p127186
p127779,p127698
p123349,p123377
p127315,p127313
p32657,p32640
p127728,p127713
p89450,p89062
p147597,p147622
p210343,p210307
p147632,p147631
p147621,p147611
p164617,p164561
p86863,p86843
p80019,p79971
p144208,p144203
p2747,p1627
p83523,p83403
p127248,p127250
p127429,p127425
p86763,p86835
p218544,p218516
p127301,p127433
p86989,p86889
p86281,p86297
p97183,p97174
p87019,p87009
p86137,p86121
p147565,p147517
p89312,p89148
p88690,p88686
p86747,p86737
p147530,p147529
p127369,p127466
p86861,p86765
p125878,p126278
p85875,p85851
p85827,p85707
p86257,p86249
p2593,p1718
p210799,p210751
p83979,p83691
p86617,p86569
p127358,p127355
p1676,p1893
p147531,p147530
p147567,p147564
p127608,p127554
p143908,p143893
p165247,p164610
p205070,p205062
p89264,p89236
p86233,p86209
p218508,p218716
p126726,p126150
p86729,p86717
p125377,p125417
p209587,p209479
p218720,p218684
p125542,p125438
p144238,p144223
p144198,p144188
p89110,p89032
p211027,p211003
p86733,p86731
p127316,p127308
p144633,p144393
p94742,p94607
p95648,p95620
p205286,p205616
p127354,p127449
p149553,p149535
p127417,p127401
p126118,p125782
p89118,p89066
p86951,p86877
p127386,p127423
p97156,p96733
p127244,p127226
p147609,p147601
p204646,p204638
p208435,p208387
p210979,p210907
p127344,p127326
p86105,p86641
p86169,p86145
p86905,p87037
p143723,p144743
p209995,p209983
p86997,p86699
p86711,p86679
p125403,p125389
p208351,p208327
p87039,p87035
p127617,p127611
p89190,p89088
p82707,p82659
p164512,p164498
p147580,p147579
p87013,p87007
p143823,p143798
p127446,p127336
p147566,p147565
p127222,p127266
p89012,p89000
p126406,p126982
p144648,p144628
p86633,p86601
p210283,p210127
p127689,p127650
p89026,p89016
p205142,p205086
p209971,p209743
p88716,p88708
p1774,p1739
p143778,p143868
p88902,p88874
p204630,p204598
p147622,p147590
p144508,p144298
p209719,p209671
p210043,p210031
p127298,p127270
p86671,p87025
p86967,p86867
p87137,p86909
p87005,p86999
p88928,p88920
p127803,p127788
p83571,p83547
p86193,p86225
p147585,p147568
p127309,p127445
p127333,p127330
p127438,p127432
p164673,p165310
p86969,p86915
p127374,p127348
p86925,p86913
p164519,p164253
p86593,p86585
p2726,p2719
p125670,p125638
p89042,p89028
p127551,p127548
p38778,p38638
p54706,p54722
p54830,p54826
p54762,p54758
p81723,p81627
p147637,p147635
p147610,p147606
p147581,p147580
p147619,p147613
p147526,p147517
p144333,p144273
p147520,p147514
p147589,p147585
p147630,p147629
p149697,p148851
p147536,p147540
p97210,p97183
p97174,p97156
p147534,p147530
p96733,p97138
p127599,p127596
p147606,p147605
p147523,p147516
p205596,p205496
p205396,p205286
p205616,p205536
p205386,p205646
p205626,p205606
p123384,p123349
p29672,p29664
p32647,p32645
p148665,p149565
p149565,p149391
p149505,p149391
p96823,p96778
p149409,p149379
p149199,p148761
p246652,p246742
p148965,p148923
p17187,p17184
p48038,p46938
p48438,p48418
p79491,p79467
p83667,p83571
p147631,p147613
p147553,p147632
p29560,p29512
p29304,p30240
p30216,p30056
p29488,p30272
p29888,p29880
p32164,p32174
p18666,p18789
p217368,p217329
p217500,p217245
p217317,p217575
p217260,p217506
p217242,p217239
p69994,p69993
p70065,p70059
p145503,p146558
p145633,p145613
p172956,p172887
p172968,p172959
p217404,p217395
p235218,p235169
p145683,p145678
p145783,p145768
p145613,p145068
p146333,p146268
p235165,p235151
p144923,p144773
p60917,p60815
p70006,p70050
p54410,p54377
p60833,p60947
p69999,p69994
p217185,p217275
p217437,p217368
p217551,p217461
p144818,p144773
p22913,p22488
p69993,p70066
p142128,p142125
p54428,p54418
p217560,p217554
p70051,p70023
p68125,p68081
p54548,p54545
p54401,p54500
p54470,p54459
p54464,p54444
p70035,p70025
p54547,p54544
p92041,p92021
p54528,p54527
p54392,p54432
p22658,p23049
p54425,p54400
p54397,p54388
p18789,p18735
p54366,p54360
p217524,p217518
p218400,p218398
p218372,p218404
p217530,p217527
p217398,p217377
p217443,p217419
p217545,p217542
p217266,p217260
p217581,p217575
p217539,p217536
p217554,p217551
p217245,p217239
p218362,p218376
p217506,p217500
p54348,p54336
p54276,p54285
p60887,p60881
p60848,p60830
p60947,p60860
p217638,p217635
p217221,p217650
p217257,p217254
p23488,p23482
p23386,p23455
p23530,p23527
p252029,p252009
p235151,p235175
p251521,p251577
p235207,p235165
p251297,p251749
p235202,p235183
p251737,p251725
p251361,p251349
p251749,p251689
p217623,p217581
p251637,p251597
p251529,p251525
p251557,p251541
p54371,p54533
p54478,p54527
p54486,p54472
p54480,p54476
p68081,p68217
p68021,p68001
p60881,p60878
p54481,p54479
p234956,p234960
p54448,p54447
p54407,p54397
p70005,p69999
p54521,p54518
p172896,p172887
p172989,p172968
p70066,p70065
p70041,p70036
p172974,p172938
p54418,p54400
p146323,p146268
p54414,p54413
p146543,p146258
p54384,p54527
p54423,p54422
p60860,p60812
p146473,p146463
p70054,p70011
p144798,p144773
p68069,p68029
p20947,p20939
p20909,p20863
p254890,p254878
p146513,p146498
p145258,p145113
p145488,p146473
p145813,p145783
p217641,p217599
p217449,p217404
p145698,p145613
p146098,p145943
p146093,p146088
p217644,p217641
p145208,p145138
p146523,p146513
p217650,p217638
p217647,p217644
p146518,p146513
p141459,p141557
p173007,p173001
p218402,p218390
p18780,p18792
p145458,p145258
p145688,p145683
p145113,p145063
p54433,p54411
p60812,p60875
p54490,p54479
p54544,p54454
p54517,p54432
p54372,p54549
p54539,p54545
p54279,p54276
p54373,p54549
p54360,p54351
p54462,p54459
p54441,p54377
p172887,p173007
p172959,p172956
p172947,p172944
p172929,p172968
p18597,p18699
p54527,p54470
p54421,p54464
p54451,p54441
p54400,p54517
p54445,p54396
p54351,p54336
p54354,p54348
p54444,p54410
p54377,p54528
p54459,p54507
p54549,p54548
p54545,p54416
p54432,p54373
p54479,p54442
p145888,p145873
p217542,p217524
p70036,p70054
p217527,p217524
p70050,p70051
p217536,p217530
p70010,p70017
p217476,p217470
p211897,p211893
p217518,p217512
p251597,p251557
p247030,p247028
p251329,p251325
p247018,p247016
p251725,p251721
p251525,p251509
p21001,p20909
p18555,p18528
p251613,p251233
p252017,p252009
p30542,p30540
p148430,p148428
p148231,p148216
p147926,p147901
p222241,p222236
p30496,p30500
p169940,p169830
p222251,p222241
p222486,p222456
